,Zh (dBZ),Zdr (dB),Ldr (dB),Kdp (deg km-1),Ah (dBZ/km),Adr (dB/km),R (mm/hr)
3832,25.11787739239683,0.4203624898063144,-41.709264058693485,0.008494149303491768,0.0004648270584073656,1.9454464757554077e-05,3.9791695159737235
3833,30.306487239221692,0.7861328887119824,-36.96927646024366,0.023084724422511166,0.0006947583317638648,5.6159003727435856e-05,3.8791387139351783
3834,32.173783624738014,0.8684523982509502,-36.28689938836069,0.03393106862842313,0.000867414518384904,8.383115966616574e-05,3.7874922028724156
3835,32.4850681036198,0.8440402836648209,-36.46938620784209,0.036944064612169834,0.0009976132387501187,9.084840726527612e-05,4.762929478303396
3836,34.34762025107761,1.126004790278631,-34.27574532196652,0.048674468918483815,0.0010333267045266397,0.00012675197639695312,3.874791918590775
3837,32.9975384423055,1.1207930624253468,-34.3077737046929,0.03577313096570189,0.0007644663029616873,9.304741795948459e-05,2.901348071688764
3838,32.604373525723744,0.9213822169396195,-35.79308776275119,0.03642185738186702,0.0009206622175330805,9.089056685542896e-05,4.20131412400198
3839,33.19073515627099,1.071115439395574,-34.661410391947484,0.038420148822720136,0.0008436735325333244,9.886317333488717e-05,3.2598802160933786
3840,32.63716906565473,1.0991473734671813,-34.4445055403539,0.03332136094572234,0.0007326610236657187,8.625475335755247e-05,2.931176930169689
3841,36.62238702143948,1.3642163379070893,-32.833921705785784,0.07221841568856083,0.0013080288939193237,0.00019908292144804173,3.842483609084392
3842,34.13803296515114,1.04487334660663,-34.882219107682026,0.04845054061222415,0.0010555860048548536,0.0001239946113939861,3.890465865393916
3843,30.189120188803344,0.8841033026586236,-36.05176361235366,0.021315250653787345,0.0006124343986746479,5.279448545148348e-05,3.653937854051973
3844,31.751087829408707,1.0264521397406547,-34.967907979022215,0.028265967366769555,0.0006546903400946308,7.20461787556626e-05,2.7549381915256865
3845,28.763635482694955,0.7564561445059982,-37.27964332106323,0.016437629744486325,0.000500346753629871,3.9780796364196486e-05,2.721835314851122
3846,26.019258019729484,0.5717020819361244,-39.36727768320144,0.009640386224500846,0.00039625305438309113,2.2610858092980517e-05,2.8397058578565835
3847,25.589121247944767,0.5546919707000074,-39.61165678146972,0.008805587940639863,0.0003646818709475378,2.059837943377892e-05,2.5509713172925244
3848,26.129130988086384,0.5963224240263141,-39.11972407921018,0.009742019461656176,0.0003567547902536397,2.294916392610579e-05,2.132363146092015
3849,22.15432830645737,0.43893927678838496,-41.43062349114692,0.004240489429684246,0.00021027037996287942,9.74259045592225e-06,1.5758196397942228
3850,25.678392936454056,0.5218392157091715,-40.134161564305586,0.009127236287686379,0.00037785925767364905,2.1245865341572355e-05,2.4560008709643424
3851,26.818127807161463,0.5307747298036447,-39.956492882678255,0.011829957211724943,0.0005047473106052886,2.756925762847039e-05,3.54692806520244
3852,23.401135059237156,0.47698381835036335,-40.774368491181875,0.005540542668438601,0.0002594322661700755,1.2803618659262199e-05,1.9197617520336643
3853,26.952558856102947,0.6387926358577817,-38.532164104922444,0.011534678204007968,0.0004248992319131264,2.7353497574104024e-05,2.803220974848853
3854,24.9735922077849,0.5101083818153104,-40.25963770687176,0.007820460341750702,0.0003455495138340513,1.8165982286117246e-05,2.47752586093317
3855,29.75965186800369,0.85038734688071,-36.346804407609845,0.019664110101903536,0.0005833250732264314,4.839599566949782e-05,3.5497318379758678
3856,31.943815922487534,0.977378598436739,-35.36217624413129,0.030340829000286673,0.0007164740994798173,7.656683959695525e-05,2.9812756613765963
3857,30.452975414849945,0.9238796594287471,-35.858649796938245,0.022148741289001826,0.0005197887106956591,5.531301218348044e-05,2.005243489944656
3858,27.359818386639926,0.8481863977622308,-36.43186855179207,0.011325359218913346,0.0003045767268362708,2.7871465249782173e-05,1.4493791218920313
3859,27.22089840217141,1.0828520455485635,-34.562536510558665,0.009658479505459032,0.00021386998275832944,2.4914148701978694e-05,0.8558152034124101
3860,25.505110574266343,0.8985745146711254,-36.02317498520451,0.007189008782643473,0.0001790597648087879,1.786341355163227e-05,0.7663552461742622
3861,18.68962667406897,0.3915124285532059,-42.279916832625574,0.0019631021574166053,0.00011160045358791735,4.476782552168305e-06,0.944757207917655
3862,17.491945517882467,0.3886980238146849,-42.335261040569264,0.0014923757612816647,8.545103337333626e-05,3.401833918336149e-06,0.7269943534513975
3863,26.4301345643694,0.3956327782182173,-42.202999306463205,0.011639039721105844,0.0006526545153212324,2.655962355001772e-05,5.453107700292144
3864,27.098645351016025,0.40281485109021603,-42.03337661251588,0.013537043360057984,0.0007775005853786408,3.092017415661538e-05,6.931486366713327
